price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,sale_month
57e4,3,2.75,2730,11936,2.0,0,2,3,8,1530,1200,1978,0,98034,47.6987,-122.231,2810,12333,2015.0,1.0
34e4,2,1.0,700,5829,1.0,0,0,3,6,700,0,1945,0,98103,47.6958,-122.357,1160,6700,2015.0,3.0
39e4,3,1.75,1260,6500,1.0,0,0,4,7,1260,0,1966,0,98008,47.6224,-122.116,1500,7700,2014.0,5.0
43e4,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,1954,0,98006,47.5725,-122.133,1450,10836,2014.0,5.0
549e3,2,1.0,1140,5400,1.0,0,0,5,7,1140,0,1908,0,98112,47.6205,-122.294,1520,4800,2014.0,5.0
529500.0,3,2.25,1410,905,3.0,0,0,3,9,1410,0,2014,0,98116,47.5818,-122.402,1510,1352,2015.0,3.0
6e5,3,3.25,1690,1473,2.0,0,0,3,8,1380,310,2008,0,98109,47.6397,-122.345,1670,2594,2015.0,3.0
1875e3,5,3.25,4110,7920,2.0,0,3,3,9,3150,960,1921,0,98122,47.617,-122.282,3890,7800,2014.0,12.0
526e3,3,1.75,1680,3420,1.0,0,0,3,7,960,720,1992,0,98115,47.6854,-122.291,1680,4080,2014.0,5.0
63e4,4,2.5,2540,8706,2.0,0,0,3,9,2540,0,1997,0,98075,47.5855,-122.031,2540,6239,2015.0,4.0
425e3,3,2.25,1820,8814,1.0,0,0,3,7,1280,540,1967,0,98125,47.7162,-122.309,1810,7515,2015.0,1.0
502e3,6,2.5,2890,8122,1.0,0,0,3,8,1630,1260,1977,0,98008,47.5886,-122.113,2730,9915,2014.0,6.0
335e3,3,2.25,1870,5876,2.0,0,0,3,7,1870,0,1986,0,98038,47.3779,-122.045,1670,6203,2015.0,5.0
406e3,2,1.0,880,3000,1.0,0,0,3,6,880,0,1924,0,98115,47.6749,-122.323,890,3000,2015.0,1.0
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2015.0,4.0
527e3,2,1.75,1640,4080,1.0,0,0,3,7,840,800,1921,0,98105,47.6645,-122.326,1980,4080,2014.0,6.0
415e3,3,1.75,1480,2200,2.0,0,0,3,7,1480,0,1995,0,98103,47.6969,-122.35,1360,2190,2015.0,4.0
278e3,2,2.25,1610,1968,2.0,0,0,4,7,1610,0,1979,0,98056,47.5184,-122.196,1950,1968,2015.0,1.0
347500.0,3,1.75,1620,7500,1.0,0,0,3,7,1220,400,1981,0,98059,47.4815,-122.162,1470,7938,2015.0,3.0
321e3,3,2.25,1347,1292,3.0,0,0,3,7,1347,0,2010,0,98125,47.7306,-122.291,1480,1865,2014.0,5.0
818e3,4,2.5,4020,44431,2.0,0,0,3,10,4020,0,1987,0,98072,47.7467,-122.132,3440,52900,2015.0,2.0
725e3,4,2.25,3180,9600,2.0,0,0,3,10,3180,0,1984,0,98074,47.6313,-122.045,2840,10739,2015.0,3.0
255e3,4,2.5,2070,7800,2.0,0,0,3,8,2070,0,1989,0,98003,47.3487,-122.315,1950,7815,2014.0,5.0
15e4,2,1.0,790,7275,1.0,0,0,4,6,790,0,1944,0,98058,47.4771,-122.174,850,7399,2014.0,9.0
1185e3,3,2.5,2510,4600,2.0,0,2,3,10,2510,0,2006,0,98034,47.7051,-122.223,2560,7500,2014.0,10.0
1348e3,4,3.5,4640,9827,2.0,0,2,3,10,3210,1430,2007,0,98027,47.5524,-122.078,3810,8207,2015.0,4.0
84e4,5,3.0,2750,3800,1.5,0,0,5,7,1750,1000,1926,0,98115,47.6845,-122.313,1900,3800,2015.0,1.0
175e3,6,1.0,1370,5080,1.5,0,0,3,6,1120,250,1931,0,98106,47.5238,-122.35,1020,5080,2014.0,6.0
498e3,4,2.5,2300,22445,2.0,0,0,4,8,2300,0,1992,0,98014,47.6454,-121.902,2640,21886,2015.0,4.0
439e3,2,1.0,800,5100,1.0,0,0,3,7,800,0,1945,0,98117,47.6775,-122.388,1330,5100,2014.0,10.0
505e3,4,2.5,2790,5602,2.0,0,0,3,8,2790,0,2009,0,98059,47.4959,-122.15,2790,5309,2014.0,5.0
498e3,3,3.0,2360,2750,2.0,0,1,3,7,1780,580,1983,0,98125,47.7142,-122.281,1970,5800,2014.0,9.0
245e3,3,1.0,990,9599,1.0,0,0,4,6,990,0,1959,0,98002,47.2934,-122.215,1216,10364,2015.0,4.0
187e3,2,1.75,1050,2926,1.0,0,0,4,8,1050,0,1974,0,98198,47.381100000000004,-122.317,1150,3802,2014.0,8.0
7e5,4,2.5,2490,7694,2.0,0,0,3,8,2490,0,1987,0,98029,47.567,-122.016,2140,8126,2015.0,5.0
17e4,3,1.0,790,6750,1.0,0,0,2,6,790,0,1944,0,98178,47.4984,-122.24,960,6298,2015.0,3.0
3e5,4,1.0,1370,8499,1.0,0,0,3,7,1370,0,1949,0,98155,47.736,-122.301,1370,8187,2014.0,6.0
1039e3,4,1.0,3410,5000,2.0,0,0,5,8,2190,1220,1910,0,98144,47.5807,-122.291,2550,5000,2014.0,5.0
815e3,5,3.5,3500,10794,2.0,0,0,3,10,3500,0,1996,0,98075,47.5887,-121.974,3110,10837,2014.0,8.0
352e3,3,1.75,1260,7200,1.0,0,0,3,7,1260,0,1971,0,98034,47.7189,-122.178,1460,7200,2015.0,4.0
489200.0,3,2.75,1850,9600,1.5,0,0,5,7,1850,0,1965,0,98034,47.7259,-122.226,1250,10500,2014.0,5.0
269e3,4,2.5,2060,3608,2.0,0,0,3,7,2060,0,2004,0,98198,47.362,-122.309,2060,3608,2015.0,4.0
38e4,3,1.0,1380,8147,1.0,0,0,4,7,1380,0,1948,0,98155,47.7407,-122.3,1360,8147,2015.0,3.0
11e5,3,3.0,3700,16857,1.0,0,0,3,10,2170,1530,2000,0,98117,47.6956,-122.392,2320,12000,2014.0,8.0
319502.0,3,1.75,1610,38707,1.0,0,0,3,7,1610,0,1990,0,98010,47.3778,-122.001,1930,45151,2015.0,2.0
69e4,3,2.0,1760,6428,1.0,0,0,4,7,980,780,1942,0,98199,47.6388,-122.397,1760,6004,2014.0,5.0
525e3,3,2.25,2040,435600,2.0,0,2,4,7,2040,0,1983,0,98022,47.2328,-121.945,2020,223027,2014.0,12.0
89e4,4,2.5,3370,7200,2.0,0,0,3,8,3370,0,2014,0,98177,47.7698,-122.384,1880,7200,2014.0,11.0
775e3,2,1.0,1010,3600,1.0,0,0,3,7,1010,0,1913,0,98107,47.6641,-122.357,1540,3600,2014.0,10.0
205e3,3,1.75,1290,7210,1.0,0,0,3,7,1290,0,1984,0,98023,47.2889,-122.363,1350,7509,2014.0,7.0
318e3,5,2.5,2820,9956,1.0,0,0,4,7,1410,1410,1967,0,98168,47.4715,-122.33,2700,9956,2014.0,7.0
528e3,4,2.25,1910,8005,1.0,0,0,3,8,1280,630,1960,0,98125,47.7259,-122.298,1860,8010,2014.0,12.0
562500.0,5,2.75,2920,6327,2.0,0,0,3,8,2920,0,2007,0,98059,47.4935,-122.145,2520,5026,2014.0,9.0
113e4,4,3.25,3810,8519,1.0,0,1,3,10,2680,1130,2007,0,98033,47.699,-122.207,3240,10748,2014.0,5.0
275e3,4,2.5,1840,1562,2.0,0,0,3,7,1400,440,2004,0,98106,47.5345,-122.364,1840,1766,2014.0,5.0
494995.0,5,2.75,2670,3800,2.0,0,0,3,8,2670,0,2014,0,98059,47.4783,-122.123,2670,3800,2014.0,6.0
516200.0,3,2.0,2110,5150,1.0,0,0,5,6,1080,1030,1919,0,98118,47.5521,-122.271,1170,5107,2014.0,6.0
650500.0,3,1.75,1740,4400,1.5,0,0,3,8,1740,0,1903,0,98122,47.6115,-122.292,1740,4400,2015.0,4.0
749950.0,4,2.5,2370,2971,2.0,0,2,3,9,2080,290,2008,0,98034,47.7064,-122.224,2970,7500,2014.0,11.0
375500.0,3,1.5,1530,7200,1.0,0,0,3,8,1530,0,1975,0,98155,47.7691,-122.297,2150,7216,2014.0,6.0
399950.0,5,2.0,2760,6420,1.0,0,0,5,7,1380,1380,1964,0,98118,47.5396,-122.276,1400,7112,2014.0,9.0
613e3,5,2.5,2070,12000,1.0,0,0,4,7,1340,730,1967,0,98008,47.626,-122.104,2090,12000,2014.0,6.0
751750.0,2,2.0,1880,5400,1.5,0,0,3,8,1880,0,1902,0,98112,47.6238,-122.311,1590,5400,2014.0,5.0
379900.0,3,2.0,3110,44967,2.0,0,0,3,9,3020,90,1999,0,98058,47.4343,-122.082,2150,44967,2014.0,7.0
299995.0,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,2014.0,6.0
699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,2014.0,12.0
315e3,2,1.0,1740,3622,1.0,0,0,4,7,950,790,1924,0,98118,47.5541,-122.29,1270,3800,2014.0,6.0
25e4,2,1.5,982,846,2.0,0,0,3,8,806,176,2006,0,98133,47.7034,-122.345,1010,3844,2014.0,6.0
307e3,3,2.0,1790,7259,1.0,0,0,3,7,1390,400,1980,0,98058,47.4643,-122.171,1790,7700,2014.0,11.0
75e4,4,2.75,2640,3750,2.0,0,0,5,7,1840,800,1911,0,98117,47.6783,-122.363,1690,5000,2014.0,11.0
358500.0,3,2.5,2000,8057,1.0,0,0,3,8,1360,640,1998,0,98042,47.3724,-122.107,2530,8964,2015.0,3.0
495e3,4,2.5,4060,8547,2.0,0,0,3,9,2790,1270,2007,0,98038,47.3694,-122.056,2810,8313,2014.0,10.0
435e3,2,1.0,1230,3800,1.0,0,0,3,7,1230,0,1928,0,98115,47.6797,-122.292,1610,3800,2014.0,6.0
427e3,3,1.75,2000,7111,1.0,0,0,4,7,1360,640,1956,0,98177,47.7676,-122.373,1830,9000,2014.0,7.0
535950.0,3,2.5,2370,5344,2.0,0,0,3,9,2370,0,2003,0,98065,47.54,-121.863,2990,5418,2015.0,3.0
58e4,3,1.75,2040,81021,1.0,0,0,3,8,2040,0,1980,0,98053,47.6536,-122.045,2260,39280,2014.0,9.0
429900.0,4,1.5,1820,17918,1.0,0,0,4,8,1190,630,1962,0,98056,47.521,-122.179,1890,15241,2015.0,2.0
405e3,2,1.0,910,6490,1.0,0,0,3,7,910,0,1942,0,98115,47.6892,-122.306,1040,6490,2014.0,5.0
825e3,4,2.25,2430,10050,2.0,0,0,4,8,2430,0,1979,0,98006,47.5563,-122.163,2390,10250,2014.0,10.0
7e5,3,2.5,2530,623779,1.0,0,0,4,8,2530,0,1980,0,98038,47.4188,-121.949,2120,100623,2015.0,3.0
126e4,2,1.5,2700,7225,1.5,0,4,3,8,1660,1040,1910,2008,98116,47.5892,-122.383,2970,5150,2015.0,3.0
231200.0,3,2.0,1400,8821,1.0,0,0,3,7,1400,0,1991,0,98022,47.1949,-121.989,1450,8721,2014.0,10.0
252e3,3,2.25,1570,8410,1.0,0,0,3,7,1180,390,1991,0,98022,47.1942,-121.99,1540,8410,2014.0,8.0
95e4,4,3.5,4140,13392,2.0,0,0,3,11,4140,0,2000,0,98059,47.5261,-122.144,4140,11529,2014.0,5.0
3e5,3,1.5,1320,15053,1.0,0,0,3,7,1320,0,1979,0,98072,47.7405,-122.095,1250,13368,2014.0,9.0
23e4,2,1.0,1430,4000,1.0,0,0,3,7,930,500,1949,0,98118,47.5233,-122.284,1110,4000,2014.0,7.0
105e4,3,4.0,4380,42769,2.0,0,0,5,11,4380,0,1983,0,98052,47.7167,-122.109,3630,35425,2014.0,5.0
385e3,3,1.0,1470,11398,1.0,0,0,3,8,1470,0,1950,0,98155,47.746,-122.296,1710,11407,2015.0,2.0
69e4,3,1.5,2540,9520,1.0,0,0,3,8,1500,1040,1959,0,98115,47.6834,-122.306,1870,6800,2014.0,7.0
105e4,4,3.5,3450,7832,2.0,0,0,3,10,3450,0,2007,0,98006,47.5637,-122.123,3220,8567,2014.0,6.0
752e3,4,2.5,2570,8178,1.0,0,2,3,8,1710,860,1961,0,98118,47.5483,-122.261,2050,7500,2015.0,3.0
328950.0,4,1.75,2550,8976,1.0,0,0,5,7,1300,1250,1978,0,98058,47.4286,-122.179,2220,9477,2014.0,7.0
356e3,3,1.5,1140,7500,1.0,0,0,3,7,1140,0,1976,0,98074,47.619,-122.064,1380,7500,2014.0,11.0
277950.0,3,2.5,2100,6021,2.0,0,0,3,7,2100,0,1992,0,98023,47.2917,-122.375,2091,7547,2014.0,11.0
315e3,3,2.5,1790,6452,2.0,0,0,3,7,1790,0,2004,0,98038,47.3841,-122.042,1610,3600,2015.0,4.0
15e5,4,4.25,5550,12968,2.0,0,0,3,11,5550,0,2005,0,98059,47.5305,-122.135,4750,13001,2014.0,11.0
178e3,4,1.5,1200,11163,1.5,0,0,4,6,1200,0,1970,0,98092,47.3024,-122.106,1200,11163,2015.0,3.0
31e4,3,2.5,1590,3359,2.0,0,0,3,7,1590,0,2000,0,98019,47.7349,-121.986,1820,3383,2014.0,8.0
96e4,3,2.5,2010,6857,1.0,0,0,4,9,1450,560,1955,0,98102,47.6402,-122.314,2380,6370,2014.0,11.0
49e4,3,2.0,1450,2400,1.5,0,0,3,8,1450,0,1900,2003,98107,47.6726,-122.381,1450,4275,2014.0,5.0
437500.0,4,2.5,2680,7513,2.0,0,0,3,8,2680,0,1998,0,98059,47.4956,-122.161,2640,7243,2014.0,11.0
34e4,3,1.0,1250,4800,1.0,0,0,4,7,1250,0,1951,0,98126,47.5517,-122.381,1404,4800,2014.0,5.0
77e4,3,2.5,3680,35617,1.0,0,0,3,10,2390,1290,1985,0,98052,47.7213,-122.12,3570,35633,2014.0,7.0
525e3,3,1.0,1640,6180,1.0,0,0,4,7,1640,0,1946,0,98118,47.5682,-122.284,1540,6180,2015.0,3.0
342e3,4,2.0,1570,11200,1.0,0,0,3,7,1120,450,1959,0,98011,47.7573,-122.217,1570,11200,2014.0,8.0
5e5,3,2.5,2440,7600,1.0,0,0,3,7,1420,1020,1981,0,98052,47.6966,-122.127,2060,7700,2015.0,4.0
402e3,5,2.75,2160,7200,1.5,0,0,3,7,1220,940,1955,0,98118,47.5576,-122.273,1900,7200,2014.0,8.0
335e3,3,2.0,1570,7200,1.0,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,7434,2014.0,5.0
55e4,4,3.0,4180,35169,2.0,0,0,3,11,4180,0,1986,1998,98038,47.4,-122.027,3010,35190,2014.0,9.0
319e3,3,2.5,2110,7434,2.0,0,0,4,7,2110,0,1978,0,98031,47.3935,-122.169,2100,7749,2014.0,11.0
716e3,4,2.25,2480,9780,1.0,0,0,4,8,1900,580,1975,0,98052,47.6388,-122.099,2640,9780,2014.0,8.0
5e5,3,2.5,1670,2575,2.0,0,0,3,8,1670,0,2000,0,98027,47.531,-122.047,1670,2897,2015.0,3.0
465e3,3,1.0,1100,145490,1.5,0,0,4,6,1100,0,1915,0,98024,47.5697,-121.898,1100,11610,2014.0,9.0
